Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Keko,60,0,0,0,1,0,0,1
R. Rosales,73,1,0,0,0,0,0,1
Adri\u00e1n,73,0,0,0,1,0,1,0
Recio,90,0,0,0,1,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
Borja Bast\u00f3n,90,0,1,0,0,0,0,1
Diego Gonz\u00e1lez,90,1,0,0,0,1,0,0
\u00c1lex Mula,90,0,0,0,1,0,0,1
Z. Kuzmanovi\u0107,90,0,0,0,1,0,0,1
F. Ricca,90,1,0,0,0,0,1,0
Roberto,90,0,0,1,0,0,0,1
Javi Ontiveros,30,0,0,0,1,0,0,1
Y. En-Nesyri,17,0,1,0,0,0,1,0
Miguel Cifuentes,17,1,0,0,0,0,0,1
