Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Chory Castro,46,0,0,0,1,0,1,0
Miguel Torres,53,1,0,0,0,0,0,1
M. Lestienne,79,0,0,0,1,0,1,0
R. Rosales,90,1,0,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
Y. En-Nesyri,90,0,1,0,0,0,1,0
M. Lacen,90,0,0,0,1,0,1,0
Adri\u00e1n,90,0,0,0,1,0,1,0
M. Iturra,90,0,0,0,1,0,0,1
Roberto,90,0,0,1,0,0,0,1
Miquel,90,1,0,0,0,0,1,0
Keko,44,0,0,0,1,0,0,1
Diego Gonz\u00e1lez,37,1,0,0,0,1,0,0
B. Ideye,11,0,1,0,0,0,0,1
