Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
O. Demb\u00e9l\u00e9,64,0,1,0,0,1,0,0
Paco Alc\u00e1cer,74,0,1,0,0,0,0,1
Philippe Coutinho,85,0,1,0,0,0,0,1
Sergi Roberto,90,1,0,0,0,0,0,1
I. Rakiti\u0107,90,0,0,0,1,0,0,1
Piqu\u00e9,90,1,0,0,0,0,0,1
L. Messi,90,0,1,0,0,0,1,0
M. ter Stegen,90,0,0,1,0,0,0,1
S. Umtiti,90,1,0,0,0,0,1,0
Jordi Alba,90,1,0,0,0,0,1,0
Paulinho,90,0,0,0,1,0,0,1
Iniesta,26,0,0,0,1,0,0,1
Aleix Vidal,16,0,0,0,1,0,0,1
Andr\u00e9 Gomes,5,0,0,0,1,0,0,1
