Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
O. Demb\u00e9l\u00e9,68,0,1,0,0,1,0,0
Philippe Coutinho,74,0,1,0,0,0,0,1
I. Rakiti\u0107,87,0,0,0,1,0,0,1
Sergio Busquets,90,0,0,0,1,0,0,1
N\u00e9lson Semedo,90,1,0,0,0,0,0,1
Piqu\u00e9,90,1,0,0,0,0,0,1
L. Messi,90,0,1,0,0,0,1,0
M. ter Stegen,90,0,0,1,0,0,0,1
S. Umtiti,90,1,0,0,0,0,1,0
Jordi Alba,90,1,0,0,0,0,1,0
L. Su\u00e1rez,90,0,1,0,0,0,0,1
Denis Su\u00e1rez,22,0,0,0,1,0,0,1
Paulinho,16,0,0,0,1,0,0,1
Iniesta,3,0,0,0,1,0,0,1
