Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
O. Demb\u00e9l\u00e9,58,0,1,0,0,1,0,0
Paulinho,77,0,0,0,1,0,0,1
Iniesta,81,0,0,0,1,0,0,1
Sergi Roberto,90,1,0,0,0,0,0,1
Philippe Coutinho,90,0,1,0,0,0,0,1
I. Rakiti\u0107,90,0,0,0,1,0,0,1
Piqu\u00e9,90,1,0,0,0,0,0,1
M. ter Stegen,90,0,0,1,0,0,0,1
S. Umtiti,90,1,0,0,0,0,1,0
Jordi Alba,90,1,0,0,0,0,1,0
L. Su\u00e1rez,90,0,1,0,0,0,0,1
L. Messi,32,0,1,0,0,0,1,0
Denis Su\u00e1rez,13,0,0,0,1,0,0,1
Paco Alc\u00e1cer,9,0,1,0,0,0,0,1
