Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
I. Success,77,0,1,0,0,0,0,1
D. Rol\u00e1n,81,0,1,0,0,0,0,1
M. Lestienne,87,0,0,0,1,0,1,0
R. Rosales,90,1,0,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
Y. En-Nesyri,90,0,1,0,0,0,1,0
Diego Gonz\u00e1lez,90,1,0,0,0,1,0,0
M. Lacen,90,0,0,0,1,0,1,0
Adri\u00e1n,90,0,0,0,1,0,1,0
Roberto,90,0,0,1,0,0,0,1
Miquel,90,1,0,0,0,0,1,0
B. Ideye,13,0,1,0,0,0,0,1
Bueno,9,0,1,0,0,0,0,1
Samu Garc\u00eda,3,0,0,0,1,0,0,1
