Source,Target,Weight
J. Brandt,C. Ar\u00e1nguiz,3
P. Retsos,S. Bender,3
L. Bender,K. Havertz,2
C. Ar\u00e1nguiz,J. Brandt,2
C. Ar\u00e1nguiz,S. Bender,2
L. Bender,J. Brandt,2
S. Bender,J. Tah,2
A. Mehmedi,L. Bender,2
J. Tah,L. Bender,2
K. Havertz,J. Tah,1
S. Bender,B. Leno,1
J. Brandt,K. Havertz,1
S. Bender,P. Retsos,1
P. Retsos,J. Tah,1
S. Bender,K. Volland,1
J. Brandt,D. Kohr,1
L. Bender,C. Ar\u00e1nguiz,1
C. Ar\u00e1nguiz,A. Mehmedi,1
K. Havertz,S. Bender,1
J. Tah,A. Mehmedi,1
J. Brandt,S. Bender,1
J. Brandt,P. Retsos,1
J. Tah,D. Kohr,1
K. Volland,J. Brandt,1
S. Bender,J. Brandt,1
P. Retsos,K. Volland,1
D. Kohr,L. Bender,1
A. Mehmedi,C. Ar\u00e1nguiz,1
B. Leno,P. Retsos,1
K. Volland,P. Retsos,1
K. Havertz,J. Brandt,1
S. Bender,A. Mehmedi,1
