Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
O. Demb\u00e9l\u00e9,29,0,1,0,0,1,0,0
Iniesta,46,0,0,0,1,0,0,1
I. Rakiti\u0107,77,0,0,0,1,0,0,1
Sergi Roberto,90,1,0,0,0,0,0,1
Sergio Busquets,90,0,0,0,1,0,0,1
Piqu\u00e9,90,1,0,0,0,0,0,1
L. Messi,90,0,1,0,0,0,1,0
M. ter Stegen,90,0,0,1,0,0,0,1
S. Umtiti,90,1,0,0,0,0,1,0
Jordi Alba,90,1,0,0,0,0,1,0
L. Su\u00e1rez,90,0,1,0,0,0,0,1
Deulofeu,61,0,1,0,0,0,0,1
Denis Su\u00e1rez,44,0,0,0,1,0,0,1
Paulinho,13,0,0,0,1,0,0,1
