Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Philippe Coutinho,60,0,1,0,0,0,0,1
Andr\u00e9 Gomes,60,0,0,0,1,0,0,1
O. Demb\u00e9l\u00e9,78,0,1,0,0,1,0,0
Paco Alc\u00e1cer,90,0,1,0,0,0,0,1
N\u00e9lson Semedo,90,1,0,0,0,0,0,1
M. ter Stegen,90,0,0,1,0,0,0,1
T. Vermaelen,90,1,0,0,0,0,1,0
L. Digne,90,1,0,0,0,0,1,0
Y. Mina,90,1,0,0,0,0,0,1
Paulinho,90,0,0,0,1,0,0,1
Denis Su\u00e1rez,90,0,0,0,1,0,0,1
Sergi Roberto,30,1,0,0,0,0,0,1
L. Messi,30,0,1,0,0,0,1,0
Aleix Vidal,12,0,0,0,1,0,0,1
