Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Chory Castro,64,0,0,0,1,0,1,0
E. Rol\u00f3n,70,0,0,0,1,0,0,1
\u00c1lex Mula,85,0,0,0,1,0,0,1
Recio,90,0,0,0,1,0,0,1
R. Rosales,90,1,0,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
Borja Bast\u00f3n,90,0,1,0,0,0,0,1
Diego Gonz\u00e1lez,90,1,0,0,0,1,0,0
F. Ricca,90,1,0,0,0,0,1,0
Adri\u00e1n,90,0,0,0,1,0,1,0
Roberto,90,0,0,1,0,0,0,1
Juanpi,26,0,0,0,1,0,1,0
Keko,20,0,0,0,1,0,0,1
D. Rol\u00e1n,5,0,1,0,0,0,0,1
