Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Adri\u00e1n,36,0,0,0,1,0,1,0
M. Lestienne,58,0,0,0,1,0,1,0
Miguel Torres,80,1,0,0,0,0,0,1
R. Rosales,90,1,0,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
Y. En-Nesyri,90,0,1,0,0,0,1,0
Chory Castro,90,0,0,0,1,0,1,0
Diego Gonz\u00e1lez,90,1,0,0,0,1,0,0
B. Ideye,90,0,1,0,0,0,0,1
M. Iturra,90,0,0,0,1,0,0,1
Roberto,90,0,0,1,0,0,0,1
M. Lacen,54,0,0,0,1,0,1,0
D. Rol\u00e1n,32,0,1,0,0,0,0,1
Bueno,10,0,1,0,0,0,0,1
