Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Philippe Coutinho,62,0,1,0,0,0,0,1
Paco Alc\u00e1cer,63,0,1,0,0,0,0,1
Sergio Busquets,82,0,0,0,1,0,0,1
Sergi Roberto,90,1,0,0,0,0,0,1
I. Rakiti\u0107,90,0,0,0,1,0,0,1
L. Messi,90,0,1,0,0,0,1,0
M. ter Stegen,90,0,0,1,0,0,0,1
Jordi Alba,90,1,0,0,0,0,1,0
L. Digne,90,1,0,0,0,0,1,0
Y. Mina,90,1,0,0,0,0,0,1
L. Su\u00e1rez,90,0,1,0,0,0,0,1
Iniesta,28,0,0,0,1,0,0,1
O. Demb\u00e9l\u00e9,27,0,1,0,0,1,0,0
Paulinho,8,0,0,0,1,0,0,1
