Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Aleix Vidal,57,0,0,0,1,0,0,1
Paulinho,63,0,0,0,1,0,0,1
Iniesta,76,0,0,0,1,0,0,1
Sergi Roberto,90,1,0,0,0,0,0,1
Sergio Busquets,90,0,0,0,1,0,0,1
L. Messi,90,0,1,0,0,0,1,0
M. ter Stegen,90,0,0,1,0,0,0,1
T. Vermaelen,90,1,0,0,0,0,1,0
S. Umtiti,90,1,0,0,0,0,1,0
L. Digne,90,1,0,0,0,0,1,0
L. Su\u00e1rez,90,0,1,0,0,0,0,1
Philippe Coutinho,33,0,1,0,0,0,0,1
I. Rakiti\u0107,27,0,0,0,1,0,0,1
O. Demb\u00e9l\u00e9,14,0,1,0,0,1,0,0
