Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
A. Pe\u00f1aranda,59,0,1,0,0,0,0,1
Keko,70,0,0,0,1,0,0,1
Chory Castro,85,0,0,0,1,0,1,0
Recio,90,0,0,0,1,0,0,1
D. Rol\u00e1n,90,0,1,0,0,0,0,1
R. Rosales,90,1,0,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
P. Baysse,90,1,0,0,0,0,0,1
Diego Gonz\u00e1lez,90,1,0,0,0,1,0,0
Adri\u00e1n,90,0,0,0,1,0,1,0
Roberto,90,0,0,1,0,0,0,1
Borja Bast\u00f3n,31,0,1,0,0,0,0,1
Javi Ontiveros,20,0,0,0,1,0,0,1
Juanpi,5,0,0,0,1,0,1,0
