Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
E. Rol\u00f3n,61,0,0,0,1,0,0,1
\u00c1lex Mula,61,0,0,0,1,0,0,1
Diego Gonz\u00e1lez,70,1,0,0,0,1,0,0
Recio,90,0,0,0,1,0,0,1
D. Rol\u00e1n,90,0,1,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
Jony,90,0,0,0,1,0,1,0
Miguel Cifuentes,90,1,0,0,0,0,0,1
Z. Kuzmanovi\u0107,90,0,0,0,1,0,0,1
F. Ricca,90,1,0,0,0,0,1,0
Roberto,90,0,0,1,0,0,0,1
Javi Ontiveros,29,0,0,0,1,0,0,1
Juanpi,29,0,0,0,1,0,1,0
P. Baysse,20,1,0,0,0,0,0,1
