Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
B. Ideye,46,0,1,0,0,0,0,1
M. Lacen,65,0,0,0,1,0,1,0
D. Rol\u00e1n,81,0,1,0,0,0,0,1
R. Rosales,90,1,0,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
Andr\u00e9s,90,0,0,1,0,0,0,1
Y. En-Nesyri,90,0,1,0,0,0,1,0
Diego Gonz\u00e1lez,90,1,0,0,0,1,0,0
M. Lestienne,90,0,0,0,1,0,1,0
Adri\u00e1n,90,0,0,0,1,0,1,0
Miquel,90,1,0,0,0,0,1,0
Borja Bast\u00f3n,44,0,1,0,0,0,0,1
M. Iturra,25,0,0,0,1,0,0,1
Bueno,9,0,1,0,0,0,0,1
