Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
O. Demb\u00e9l\u00e9,67,0,1,0,0,1,0,0
Iniesta,76,0,0,0,1,0,0,1
Sergi Roberto,85,1,0,0,0,0,0,1
I. Rakiti\u0107,90,0,0,0,1,0,0,1
J. Mascherano,90,1,0,0,0,0,0,1
L. Messi,90,0,1,0,0,0,1,0
M. ter Stegen,90,0,0,1,0,0,0,1
T. Vermaelen,90,1,0,0,0,0,1,0
Jordi Alba,90,1,0,0,0,0,1,0
Paulinho,90,0,0,0,1,0,0,1
L. Su\u00e1rez,90,0,1,0,0,0,0,1
N\u00e9lson Semedo,23,1,0,0,0,0,0,1
Andr\u00e9 Gomes,14,0,0,0,1,0,0,1
Jos\u00e9 Arn\u00e1iz,5,0,1,0,0,0,0,1
