Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Paulinho,64,0,0,0,1,0,0,1
Andr\u00e9 Gomes,79,0,0,0,1,0,0,1
L. Su\u00e1rez,89,0,1,0,0,0,0,1
Sergi Roberto,90,1,0,0,0,0,0,1
I. Rakiti\u0107,90,0,0,0,1,0,0,1
Sergio Busquets,90,0,0,0,1,0,0,1
Piqu\u00e9,90,1,0,0,0,0,0,1
L. Messi,90,0,1,0,0,0,1,0
M. ter Stegen,90,0,0,1,0,0,0,1
T. Vermaelen,90,1,0,0,0,0,1,0
Jordi Alba,90,1,0,0,0,0,1,0
O. Demb\u00e9l\u00e9,26,0,1,0,0,1,0,0
L. Digne,11,1,0,0,0,0,1,0
Denis Su\u00e1rez,1,0,0,0,1,0,0,1
