Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Sergi Roberto,74,1,0,0,0,0,0,1
Philippe Coutinho,81,0,1,0,0,0,0,1
O. Demb\u00e9l\u00e9,89,0,1,0,0,1,0,0
I. Rakiti\u0107,90,0,0,0,1,0,0,1
N\u00e9lson Semedo,90,1,0,0,0,0,0,1
Piqu\u00e9,90,1,0,0,0,0,0,1
L. Messi,90,0,1,0,0,0,1,0
M. ter Stegen,90,0,0,1,0,0,0,1
T. Vermaelen,90,1,0,0,0,0,1,0
Andr\u00e9 Gomes,90,0,0,0,1,0,0,1
L. Su\u00e1rez,90,0,1,0,0,0,0,1
Jordi Alba,16,1,0,0,0,0,1,0
Iniesta,9,0,0,0,1,0,0,1
Denis Su\u00e1rez,1,0,0,0,1,0,0,1
