Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Deulofeu,68,0,1,0,0,0,0,1
Sergio Busquets,73,0,0,0,1,0,0,1
Iniesta,77,0,0,0,1,0,0,1
I. Rakiti\u0107,90,0,0,0,1,0,0,1
N\u00e9lson Semedo,90,1,0,0,0,0,0,1
Piqu\u00e9,90,1,0,0,0,0,0,1
L. Messi,90,0,1,0,0,0,1,0
M. ter Stegen,90,0,0,1,0,0,0,1
S. Umtiti,90,1,0,0,0,0,1,0
Jordi Alba,90,1,0,0,0,0,1,0
L. Su\u00e1rez,90,0,1,0,0,0,0,1
O. Demb\u00e9l\u00e9,22,0,1,0,0,1,0,0
Paulinho,17,0,0,0,1,0,0,1
Andr\u00e9 Gomes,13,0,0,0,1,0,0,1
