Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Philippe Coutinho,79,0,1,0,0,0,0,1
Iniesta,85,0,0,0,1,0,0,1
Sergio Busquets,90,0,0,0,1,0,0,1
Piqu\u00e9,90,1,0,0,0,0,0,1
L. Messi,90,0,1,0,0,0,1,0
M. ter Stegen,90,0,0,1,0,0,0,1
S. Umtiti,90,1,0,0,0,0,1,0
Jordi Alba,90,1,0,0,0,0,1,0
Paulinho,90,0,0,0,1,0,0,1
L. Su\u00e1rez,90,0,1,0,0,0,0,1
Sergi Roberto,90,1,0,0,0,0,0,1
O. Demb\u00e9l\u00e9,11,0,1,0,0,1,0,0
Denis Su\u00e1rez,5,0,0,0,1,0,0,1
N\u00e9lson Semedo,1,1,0,0,0,0,0,1
