Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
I. Success,34,0,1,0,0,0,0,1
B. Ideye,76,0,1,0,0,0,0,1
Diego Gonz\u00e1lez,84,1,0,0,0,1,0,0
D. Rol\u00e1n,90,0,1,0,0,0,0,1
R. Rosales,90,1,0,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
Chory Castro,90,0,0,0,1,0,1,0
M. Lacen,90,0,0,0,1,0,1,0
M. Iturra,90,0,0,0,1,0,0,1
Roberto,90,0,0,1,0,0,0,1
Miquel,90,1,0,0,0,0,1,0
Y. En-Nesyri,56,0,1,0,0,0,1,0
Bueno,14,0,1,0,0,0,0,1
Samu Garc\u00eda,6,0,0,0,1,0,0,1
