Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Diego Gonz\u00e1lez,47,1,0,0,0,1,0,0
M. Lestienne,57,0,0,0,1,0,1,0
I. Success,78,0,1,0,0,0,0,1
D. Rol\u00e1n,90,0,1,0,0,0,0,1
R. Rosales,90,1,0,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
Andr\u00e9s,90,0,0,1,0,0,0,1
Y. En-Nesyri,90,0,1,0,0,0,1,0
Adri\u00e1n,90,0,0,0,1,0,1,0
M. Iturra,90,0,0,0,1,0,0,1
Miquel,90,1,0,0,0,0,1,0
Alberto L\u00f3pez,43,1,0,0,0,0,0,0
Borja Bast\u00f3n,33,0,1,0,0,0,0,1
Bueno,12,0,1,0,0,0,0,1
