Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Sergi Roberto,74,1,0,0,0,0,0,1
Jordi Alba,77,1,0,0,0,0,1,0
O. Demb\u00e9l\u00e9,85,0,1,0,0,1,0,0
Philippe Coutinho,90,0,1,0,0,0,0,1
I. Rakiti\u0107,90,0,0,0,1,0,0,1
Sergio Busquets,90,0,0,0,1,0,0,1
Piqu\u00e9,90,1,0,0,0,0,0,1
M. ter Stegen,90,0,0,1,0,0,0,1
S. Umtiti,90,1,0,0,0,0,1,0
Paulinho,90,0,0,0,1,0,0,1
L. Su\u00e1rez,90,0,1,0,0,0,0,1
Andr\u00e9 Gomes,16,0,0,0,1,0,0,1
L. Digne,13,1,0,0,0,0,1,0
Aleix Vidal,5,0,0,0,1,0,0,1
