Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Diego Gonz\u00e1lez,56,1,0,0,0,1,0,0
A. Pe\u00f1aranda,65,0,1,0,0,0,0,1
Z. Kuzmanovi\u0107,76,0,0,0,1,0,0,1
Recio,90,0,0,0,1,0,0,1
D. Rol\u00e1n,90,0,1,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
P. Baysse,90,1,0,0,0,0,0,1
Javi Ontiveros,90,0,0,0,1,0,0,1
Chory Castro,90,0,0,0,1,0,1,0
Roberto,90,0,0,1,0,0,0,1
Miquel,90,1,0,0,0,0,1,0
F. Ricca,34,1,0,0,0,0,1,0
Borja Bast\u00f3n,25,0,1,0,0,0,0,1
\u00c1lex Mula,14,0,0,0,1,0,0,1
