Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Adri\u00e1n,39,0,0,0,1,0,1,0
Keko,55,0,0,0,1,0,0,1
A. Pe\u00f1aranda,67,0,1,0,0,0,0,1
Recio,90,0,0,0,1,0,0,1
R. Rosales,90,1,0,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
P. Baysse,90,1,0,0,0,0,0,1
Borja Bast\u00f3n,90,0,1,0,0,0,0,1
Chory Castro,90,0,0,0,1,0,1,0
Diego Gonz\u00e1lez,90,1,0,0,0,1,0,0
Roberto,90,0,0,1,0,0,0,1
D. Rol\u00e1n,51,0,1,0,0,0,0,1
Javi Ontiveros,35,0,0,0,1,0,0,1
Y. En-Nesyri,23,0,1,0,0,0,1,0
