Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Juankar,36,1,0,0,0,0,1,0
A. Pe\u00f1aranda,61,0,1,0,0,0,0,1
Keko,66,0,0,0,1,0,0,1
Recio,90,0,0,0,1,0,0,1
D. Rol\u00e1n,90,0,1,0,0,0,0,1
R. Rosales,90,1,0,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
Chory Castro,90,0,0,0,1,0,1,0
Diego Gonz\u00e1lez,90,1,0,0,0,1,0,0
Adri\u00e1n,90,0,0,0,1,0,1,0
Roberto,90,0,0,1,0,0,0,1
P. Baysse,54,1,0,0,0,0,0,1
Borja Bast\u00f3n,29,0,1,0,0,0,0,1
Juanpi,24,0,0,0,1,0,1,0
