Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Iniesta,61,0,0,0,1,0,0,1
Sergio Busquets,65,0,0,0,1,0,0,1
Piqu\u00e9,80,1,0,0,0,0,0,1
Philippe Coutinho,90,0,1,0,0,0,0,1
N\u00e9lson Semedo,90,1,0,0,0,0,0,1
O. Demb\u00e9l\u00e9,90,0,1,0,0,1,0,0
L. Messi,90,0,1,0,0,0,1,0
T. Vermaelen,90,1,0,0,0,0,1,0
L. Digne,90,1,0,0,0,0,1,0
Paulinho,90,0,0,0,1,0,0,1
J. Cillessen,90,0,0,1,0,0,0,1
L. Su\u00e1rez,29,0,1,0,0,0,0,1
I. Rakiti\u0107,25,0,0,0,1,0,0,1
Y. Mina,10,1,0,0,0,0,0,1
