Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Diego Gonz\u00e1lez,60,1,0,0,0,1,0,0
Juanpi,65,0,0,0,1,0,1,0
Recio,83,0,0,0,1,0,0,1
R. Rosales,90,1,0,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
Juankar,90,1,0,0,0,0,1,0
P. Baysse,90,1,0,0,0,0,0,1
Borja Bast\u00f3n,90,0,1,0,0,0,0,1
Z. Kuzmanovi\u0107,90,0,0,0,1,0,0,1
Adri\u00e1n,90,0,0,0,1,0,1,0
Roberto,90,0,0,1,0,0,0,1
Jony,30,0,0,0,1,0,1,0
Javi Ontiveros,25,0,0,0,1,0,0,1
Y. En-Nesyri,7,0,1,0,0,0,1,0
