Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
Chory Castro,59,0,0,0,1,0,1,0
A. Pe\u00f1aranda,59,0,1,0,0,0,0,1
Keko,69,0,0,0,1,0,0,1
Recio,90,0,0,0,1,0,0,1
R. Rosales,90,1,0,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
Y. En-Nesyri,90,0,1,0,0,0,1,0
Diego Gonz\u00e1lez,90,1,0,0,0,1,0,0
M. Iturra,90,0,0,0,1,0,0,1
Roberto,90,0,0,1,0,0,0,1
Miquel,90,1,0,0,0,0,1,0
Javi Ontiveros,31,0,0,0,1,0,0,1
Borja Bast\u00f3n,31,0,1,0,0,0,0,1
Juanpi,21,0,0,0,1,0,1,0
