Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
A. Pe\u00f1aranda,52,0,1,0,0,0,0,1
Keko,77,0,0,0,1,0,0,1
Borja Bast\u00f3n,85,0,1,0,0,0,0,1
Recio,90,0,0,0,1,0,0,1
R. Rosales,90,1,0,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
P. Baysse,90,1,0,0,0,0,0,1
Chory Castro,90,0,0,0,1,0,1,0
Diego Gonz\u00e1lez,90,1,0,0,0,1,0,0
Adri\u00e1n,90,0,0,0,1,0,1,0
Roberto,90,0,0,1,0,0,0,1
Y. En-Nesyri,38,0,1,0,0,0,1,0
Javi Ontiveros,13,0,0,0,1,0,0,1
\u00c1lex Mula,5,0,0,0,1,0,0,1
