Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
M. Lestienne,66,0,0,0,1,0,1,0
Y. En-Nesyri,74,0,1,0,0,0,1,0
M. Lacen,82,0,0,0,1,0,1,0
D. Rol\u00e1n,90,0,1,0,0,0,0,1
Luis Hern\u00e1ndez,90,1,0,0,0,0,0,1
Andr\u00e9s,90,0,0,1,0,0,0,1
Diego Gonz\u00e1lez,90,1,0,0,0,1,0,0
Alex Robles,90,1,0,0,0,0,0,1
I. Success,90,0,1,0,0,0,0,1
Adri\u00e1n,90,0,0,0,1,0,1,0
M. Iturra,90,0,0,0,1,0,0,1
B. Ideye,24,0,1,0,0,0,0,1
Keko,16,0,0,0,1,0,0,1
Juan Cruz,8,0,1,0,0,0,0,0
